User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,rate_cnt,user_rate_cnt
11676,038550120X,10,A Painted House,JOHN GRISHAM,2001,Doubleday,81,3642
11676,0684867621,3,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,60,3642
11676,0440498058,8,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,81,3642
11676,002542730X,6,Politically Correct Bedtime Stories: Modern Tales For Our Life And Times,James Finn Garner,1994,John Wiley & Sons Inc,77,3642
11676,0385504209,9,The Da Vinci Code,Dan Brown,2003,Doubleday,487,3642
11676,0312966970,7,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,103,3642
11676,0375760911,6,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books,50,3642
11676,0671793489,8,All Around The Town,Mary Higgins Clark,1993,Pocket Star,57,3642
11676,0812511816,8,"The Eye Of The World (The Wheel Of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,63,3642
11676,0446611212,6,Violets Are Blue,James Patterson,2002,Warner Vision,92,3642
11676,0609804138,10,The Sweet Potato Queens' Book Of Love,JILL CONNER BROWNE,1999,Three Rivers Press,97,3642
11676,074343627X,10,Dreamcatcher,Stephen King,2001,Pocket,94,3642
11676,0971880107,6,Wild Animus,Rich Shapero,2004,Too Far,581,3642
11676,1573229571,7,About A Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,56,3642
11676,0064407667,3,"The Bad Beginning (A Series Of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,113,3642
11676,0440241073,8,The Summons,John Grisham,2002,Dell Publishing Company,200,3642
11676,0679745203,10,The English Patient,Michael Ondaatje,1996,Vintage Books USA,90,3642
11676,0060391626,10,I Know This Much Is True (Oprah'S Book Club),Wally Lamb,1998,Regan Books,75,3642
11676,044023722X,8,A Painted House,John Grisham,2001,Dell Publishing Company,281,3642
11676,0312282990,8,The Amazing Adventures Of Kavalier & Clay,Michael Chabon,2001,Picador,94,3642
11676,014029628X,7,Girl In Hyacinth Blue,Susan Vreeland,2000,Penguin Books,80,3642
11676,038550926X,5,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday,61,3642
11676,0156027321,6,Life Of Pi,Yann Martel,2003,Harvest Books,226,3642
11676,0312195516,10,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,383,3642
11676,0446608955,7,A Walk To Remember,Nicholas Sparks,2000,Warner Books,124,3642
11676,0670892963,7,Bridget Jones : The Edge Of Reason,Helen Fielding,2000,Viking Books,63,3642
11676,0804114986,8,The Bonesetter'S Daughter,Amy Tan,2002,Ballantine Books,112,3642
11676,0061009059,8,One For The Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,134,3642
11676,0316776963,8,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,159,3642
11676,0385424736,8,The Rainmaker,John Grisham,1995,Doubleday Books,50,3642
11676,0553280368,10,C Is For Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam,54,3642
11676,0679731148,5,A Year In Provence,Peter Mayle,1991,Vintage Books USA,67,3642
11676,0743412028,7,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,59,3642
11676,0316666343,5,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",707,3642
11676,0380718340,10,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994,Avon,80,3642
11676,0553572997,7,The Alienist,Caleb Carr,1995,Bantam Books,120,3642
11676,0316693200,7,2Nd Chance,James Patterson,2002,"Little, Brown",59,3642
