Book-Title,Book-Author,tag_name,corpus
A Painted House,John Grisham,to-read favorites currently-reading fiction books-i-own owned owned-books all-time-favorites default my-books i-own audiobook novels audiobooks my-library english books mystery own-it library audio novel shelfari-favorites kindle to-buy read-in-2014 ebook contemporary coming-of-age bookshelf have audio-books finished borrowed books-i-have mine other contemporary-fiction thriller wish-list home-library adult book-club adult-fiction literature audible ebooks personal-library e-books calibre non-fiction historical general american favorite-authors usa life paperback books-owned in-my-library home already-read realistic-fiction school general-fiction boys historical-fiction literary-fiction southern book-club-books southern-fiction american-south unread family i-own-it not-read drama fiction-general crime suspense mystery-thriller thrillers mystery-crime mystery-suspense crime-mystery john-grisham grisham legal-thriller grisham-john baseball 2001 families family-drama 2002 farm johngrisham arkansas cotton rural farmers,John Grisham to-read favorites currently-reading fiction books-i-own owned owned-books all-time-favorites default my-books i-own audiobook novels audiobooks my-library english books mystery own-it library audio novel shelfari-favorites kindle to-buy read-in-2014 ebook contemporary coming-of-age bookshelf have audio-books finished borrowed books-i-have mine other contemporary-fiction thriller wish-list home-library adult book-club adult-fiction literature audible ebooks personal-library e-books calibre non-fiction historical general american favorite-authors usa life paperback books-owned in-my-library home already-read realistic-fiction school general-fiction boys historical-fiction literary-fiction southern book-club-books southern-fiction american-south unread family i-own-it not-read drama fiction-general crime suspense mystery-thriller thrillers mystery-crime mystery-suspense crime-mystery john-grisham grisham legal-thriller grisham-john baseball 2001 families family-drama 2002 farm johngrisham arkansas cotton rural farmers
A Wrinkle In Time,Madeleine L'Engle,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites magic childrens owned-books re-read adventure children children-s sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks my-library ya-fantasy teen ya-fiction own-it childrens-books library audio young-adult-fiction novel scifi-fantasy juvenile kindle youth to-buy to-re-read childhood-favorites kids-books coming-of-age science-fiction-fantasy read-in-2017 children-s-literature children-s-lit childhood-books fantasy-scifi classic juvenile-fiction read-again sci-fi childrens-lit children-young-adult ya-lit middle-school time-travel wish-list science-fiction children-s-fiction scifi sf book-club literature science sci-fi-and-fantasy speculative-fiction 20th-century to-reread school read-for-school newbery for-school school-books childhood-reads chapter-books read-as-a-kid newberry kid-lit childrens-literature childrens-fiction family children-ya banned-books to-read-again newbery-medal newbery-award newbery-winners,Madeleine L'Engle to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites magic childrens owned-books re-read adventure children children-s sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks my-library ya-fantasy teen ya-fiction own-it childrens-books library audio young-adult-fiction novel scifi-fantasy juvenile kindle youth to-buy to-re-read childhood-favorites kids-books coming-of-age science-fiction-fantasy read-in-2017 children-s-literature children-s-lit childhood-books fantasy-scifi classic juvenile-fiction read-again sci-fi childrens-lit children-young-adult ya-lit middle-school time-travel wish-list science-fiction children-s-fiction scifi sf book-club literature science sci-fi-and-fantasy speculative-fiction 20th-century to-reread school read-for-school newbery for-school school-books childhood-reads chapter-books read-as-a-kid newberry kid-lit childrens-literature childrens-fiction family children-ya banned-books to-read-again newbery-medal newbery-award newbery-winners
The Da Vinci Code,Dan Brown,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites owned-books re-read adventure all-time-favorites default my-books classics i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books mystery my-favorites own-it library audio novel 2005 shelfari-favorites kindle romance to-buy ebook contemporary my-bookshelf bookshelf have action movie finished borrowed rory-gilmore-reading-challenge other contemporary-fiction thriller science-fiction home-library action-adventure adult book-club adult-fiction literature abandoned ebooks history historical american 21st-century france movies read-fiction book-to-movie art 2004 realistic-fiction general-fiction historical-fiction american-literature religion drama modern-fiction 2006 popular-fiction روايات rory-gilmore-challenge rory-gilmore suspense mystery-thriller thrillers religious detective mysteries conspiracy mystery-crime mystery-suspense crime-fiction crime-mystery dan-brown suspense-thriller robert-langdon thriller-mystery brown-dan thriller-suspense brown mystery-thrillers,Dan Brown to-read fantasy favorites currently-reading fiction books-i-own owned series favourites owned-books re-read adventure all-time-favorites default my-books classics i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books mystery my-favorites own-it library audio novel 2005 shelfari-favorites kindle romance to-buy ebook contemporary my-bookshelf bookshelf have action movie finished borrowed rory-gilmore-reading-challenge other contemporary-fiction thriller science-fiction home-library action-adventure adult book-club adult-fiction literature abandoned ebooks history historical american 21st-century france movies read-fiction book-to-movie art 2004 realistic-fiction general-fiction historical-fiction american-literature religion drama modern-fiction 2006 popular-fiction روايات rory-gilmore-challenge rory-gilmore suspense mystery-thriller thrillers religious detective mysteries conspiracy mystery-crime mystery-suspense crime-fiction crime-mystery dan-brown suspense-thriller robert-langdon thriller-mystery brown-dan thriller-suspense brown mystery-thrillers
All Around The Town,Mary Higgins Clark,to-read favorites currently-reading fiction books-i-own owned owned-books re-read default my-books i-own novels favorite my-library books mystery own-it library audio read-in-2015 shelfari-favorites kindle romance ebook contemporary my-bookshelf have audio-books finished female-author books-i-have have-read contemporary-fiction thriller wish-list adult book-club adult-fiction e-books nook american own-to-read favorite-authors paperback books-owned general-fiction unread i-own-it drama ibooks horror crime suspense murder mystery-thriller thrillers crime-thriller library-books mysteries mystery-crime mystery-suspense crime-fiction crime-mystery psychology c chick-lit adult-books mystery-and-suspense suspense-thriller thriller-suspense murder-mystery mystery-thrillers mystery-suspense-thriller mystery-thriller-suspense book crime-mystery-thriller mysteries-thrillers suspense-mystery cozy-mysteries romantic-suspense mysteries-and-thrillers hard-copy own-book kidnapping 1993 clark policier 1996 suspence fiction-mystery mystery-and-thriller nook-books 1992 mary-higgins-clark clark-mary-higgins mhc higgins-clark higgins-clark-mary m-h-clark before-goodreads,Mary Higgins Clark to-read favorites currently-reading fiction books-i-own owned owned-books re-read default my-books i-own novels favorite my-library books mystery own-it library audio read-in-2015 shelfari-favorites kindle romance ebook contemporary my-bookshelf have audio-books finished female-author books-i-have have-read contemporary-fiction thriller wish-list adult book-club adult-fiction e-books nook american own-to-read favorite-authors paperback books-owned general-fiction unread i-own-it drama ibooks horror crime suspense murder mystery-thriller thrillers crime-thriller library-books mysteries mystery-crime mystery-suspense crime-fiction crime-mystery psychology c chick-lit adult-books mystery-and-suspense suspense-thriller thriller-suspense murder-mystery mystery-thrillers mystery-suspense-thriller mystery-thriller-suspense book crime-mystery-thriller mysteries-thrillers suspense-mystery cozy-mysteries romantic-suspense mysteries-and-thrillers hard-copy own-book kidnapping 1993 clark policier 1996 suspence fiction-mystery mystery-and-thriller nook-books 1992 mary-higgins-clark clark-mary-higgins mhc higgins-clark higgins-clark-mary m-h-clark before-goodreads
Violets Are Blue,James Patterson,to-read favorites currently-reading fiction books-i-own owned series owned-books default my-books i-own audiobook novels audiobooks my-library books mystery library audio kindle to-buy ebook 2003 have audio-books action books-i-have thriller wish-list adult adult-fiction ebooks audio-book hardcover e-books calibre general american own-to-read favorite-authors african unread read-2013 crime suspense mystery-thriller thrillers crime-thriller detective mysteries mystery-crime mystery-suspense crime-fiction crime-mystery suspense-thriller thriller-mystery thriller-suspense murder-mystery mystery-thrillers action-thriller mystery-suspense-thriller psychological police crime-thrillers occult suspense-mystery mystery-series fictitious character procedural hardback washington d-c vampires james-patterson patterson patterson-james jamespatterson alex-cross-series james-patterson-books suspence alex-cross james-patterson-alex-cross cross alex psychologists patterson-alex-cross patterson--james james-patterson-read james-patterson-alex-cross-series patterson-cross -d-c-- -fictitious p calif alex-cross-james-patterson francisco san role playing,James Patterson to-read favorites currently-reading fiction books-i-own owned series owned-books default my-books i-own audiobook novels audiobooks my-library books mystery library audio kindle to-buy ebook 2003 have audio-books action books-i-have thriller wish-list adult adult-fiction ebooks audio-book hardcover e-books calibre general american own-to-read favorite-authors african unread read-2013 crime suspense mystery-thriller thrillers crime-thriller detective mysteries mystery-crime mystery-suspense crime-fiction crime-mystery suspense-thriller thriller-mystery thriller-suspense murder-mystery mystery-thrillers action-thriller mystery-suspense-thriller psychological police crime-thrillers occult suspense-mystery mystery-series fictitious character procedural hardback washington d-c vampires james-patterson patterson patterson-james jamespatterson alex-cross-series james-patterson-books suspence alex-cross james-patterson-alex-cross cross alex psychologists patterson-alex-cross patterson--james james-patterson-read james-patterson-alex-cross-series patterson-cross -d-c-- -fictitious p calif alex-cross-james-patterson francisco san role playing
The Sweet Potato Queens' Book Of Love,Jill Conner Browne,to-read favorites currently-reading fiction books-i-own owned series owned-books all-time-favorites default my-books i-own audiobook audiobooks my-library library audio shelfari-favorites kindle read-in-2014 2003 finished friendship love humor contemporary-fiction funny home-library just-for-fun comedy humour adult book-club literature humorous abandoned audible audio-book did-not-finish personal-library nonfiction non-fiction reference non-fic didn-t-finish never-finished own-to-read couldn-t-finish gave-up-on memoir memoirs biography bookclub misc paperback purchased general-fiction southern book-club-books southern-lit book-club-reads southern-fiction the-south south self-help 2006 women relationships lit memoirs-biographies 1999 chick-lit women-s-fiction food book-club-picks book-club-selections recipes for-fun beach-reads chicklit guilty-pleasures 2002 my-home-library listened chick southern-writers mississippi women-s-lit laugh-out-loud-funny quit light-read sweet-potato-queens jill-conner-browne browne conner female-friendship relax ffbc friend-recommendation fun-funny,Jill Conner Browne to-read favorites currently-reading fiction books-i-own owned series owned-books all-time-favorites default my-books i-own audiobook audiobooks my-library library audio shelfari-favorites kindle read-in-2014 2003 finished friendship love humor contemporary-fiction funny home-library just-for-fun comedy humour adult book-club literature humorous abandoned audible audio-book did-not-finish personal-library nonfiction non-fiction reference non-fic didn-t-finish never-finished own-to-read couldn-t-finish gave-up-on memoir memoirs biography bookclub misc paperback purchased general-fiction southern book-club-books southern-lit book-club-reads southern-fiction the-south south self-help 2006 women relationships lit memoirs-biographies 1999 chick-lit women-s-fiction food book-club-picks book-club-selections recipes for-fun beach-reads chicklit guilty-pleasures 2002 my-home-library listened chick southern-writers mississippi women-s-lit laugh-out-loud-funny quit light-read sweet-potato-queens jill-conner-browne browne conner female-friendship relax ffbc friend-recommendation fun-funny
Dreamcatcher,Stephen King,to-read fantasy favorites currently-reading fiction books-i-own owned owned-books sci-fi-fantasy default my-books i-own audiobook novels audiobooks paranormal my-library english books supernatural mystery own-it library audio novel scifi-fantasy kindle to-buy ebook contemporary on-my-shelf bookshelf have finished sci-fi books-i-have other contemporary-fiction thriller wish-list science-fiction home-library scifi adult adult-fiction aliens abandoned ebooks did-not-finish dnf collection personal-library hardcover e-books calibre didn-t-finish general american own-to-read literary paperback books-owned tbr my-collection unread stories to-read-owned modern horror suspense mystery-thriller thrillers c 1945 post 2001 ghost d terror fiction-horror scary horror-thriller maine king stephen-king king-stephen the-king s-king stephenking sk thriller-horror stephen-king-read horror-fiction horror-supernatural steven-king horror-suspense stephen-king-to-read stephen-king-books encounters human-alien,Stephen King to-read fantasy favorites currently-reading fiction books-i-own owned owned-books sci-fi-fantasy default my-books i-own audiobook novels audiobooks paranormal my-library english books supernatural mystery own-it library audio novel scifi-fantasy kindle to-buy ebook contemporary on-my-shelf bookshelf have finished sci-fi books-i-have other contemporary-fiction thriller wish-list science-fiction home-library scifi adult adult-fiction aliens abandoned ebooks did-not-finish dnf collection personal-library hardcover e-books calibre didn-t-finish general american own-to-read literary paperback books-owned tbr my-collection unread stories to-read-owned modern horror suspense mystery-thriller thrillers c 1945 post 2001 ghost d terror fiction-horror scary horror-thriller maine king stephen-king king-stephen the-king s-king stephenking sk thriller-horror stephen-king-read horror-fiction horror-supernatural steven-king horror-suspense stephen-king-to-read stephen-king-books encounters human-alien
The Summons,John Grisham,to-read favorites currently-reading fiction books-i-own owned owned-books re-read default my-books i-own audiobook novels audiobooks my-library english books mystery own-it library audio novel kindle to-buy ebook contemporary bookshelf 2003 have audio-books action read-in-2013 finished borrowed books-i-have mine contemporary-fiction thriller home-library adult adult-fiction audible ebooks audio-book personal-library hardcover e-books calibre general american listened-to favorite-authors paperback books-owned 1 my-collection general-fiction unread family i-own-it not-read stories scanned drama popular-fiction crime suspense murder mystery-thriller thrillers crime-thriller mysteries mystery-crime mystery-suspense crime-fiction crime-mystery suspense-thriller thriller-mystery thriller-suspense mystery-thrillers mystery-suspense-thriller john-grisham grisham legal-thriller legal grisham-john law legal-thrillers legal-fiction mystery-thriller-suspense thriller-legal john all-books 2002 courtroom-drama indonesian mississippi trials lawyer inheritance,John Grisham to-read favorites currently-reading fiction books-i-own owned owned-books re-read default my-books i-own audiobook novels audiobooks my-library english books mystery own-it library audio novel kindle to-buy ebook contemporary bookshelf 2003 have audio-books action read-in-2013 finished borrowed books-i-have mine contemporary-fiction thriller home-library adult adult-fiction audible ebooks audio-book personal-library hardcover e-books calibre general american listened-to favorite-authors paperback books-owned 1 my-collection general-fiction unread family i-own-it not-read stories scanned drama popular-fiction crime suspense murder mystery-thriller thrillers crime-thriller mysteries mystery-crime mystery-suspense crime-fiction crime-mystery suspense-thriller thriller-mystery thriller-suspense mystery-thrillers mystery-suspense-thriller john-grisham grisham legal-thriller legal grisham-john law legal-thrillers legal-fiction mystery-thriller-suspense thriller-legal john all-books 2002 courtroom-drama indonesian mississippi trials lawyer inheritance
The English Patient,Michael Ondaatje,to-read favorites currently-reading fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english british books own-it library audio novel kindle romance to-buy ebook contemporary classic movie love contemporary-fiction wish-list adult 1001-books book-club adult-fiction 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die modern-classics did-not-finish to-read-fiction history historical didn-t-finish couldn-t-finish bookclub literary 1990s europe war 1001-books-you-must-read-before-you movies book-to-movie film school canada general-fiction award-winners historical-fiction literary-fiction unread africa drama modern-fiction wwii lit 1001-import 1001-books-to-read italy ww2 canadian world-war-ii world-war-2 saw-the-movie canlit canadiana canadian-authors canadian-lit canadian-literature canadian-author canadian-fiction can-lit booker-prize man-booker-prize man-booker booker booker-prize-winners booker-winners man-booker-prize-winners man-booker-winners booker-prize-winner michael-ondaatje,Michael Ondaatje to-read favorites currently-reading fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english british books own-it library audio novel kindle romance to-buy ebook contemporary classic movie love contemporary-fiction wish-list adult 1001-books book-club adult-fiction 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die modern-classics did-not-finish to-read-fiction history historical didn-t-finish couldn-t-finish bookclub literary 1990s europe war 1001-books-you-must-read-before-you movies book-to-movie film school canada general-fiction award-winners historical-fiction literary-fiction unread africa drama modern-fiction wwii lit 1001-import 1001-books-to-read italy ww2 canadian world-war-ii world-war-2 saw-the-movie canlit canadiana canadian-authors canadian-lit canadian-literature canadian-author canadian-fiction can-lit booker-prize man-booker-prize man-booker booker booker-prize-winners booker-winners man-booker-prize-winners man-booker-winners booker-prize-winner michael-ondaatje
The Amazing Adventures Of Kavalier & Clay,Michael Chabon,to-read fantasy favorites currently-reading fiction books-i-own owned favourites owned-books adventure all-time-favorites default my-books classics audiobook favorite-books novels favorite audiobooks my-library books own-it library audio novel faves shelfari-favorites kindle to-buy ebook contemporary coming-of-age rory-gilmore-reading-challenge contemporary-fiction wish-list recommended adult 1001-books book-club adult-fiction 1001 literature abandoned 1001-books-to-read-before-you-die audible unfinished did-not-finish to-read-fiction on-hold history historical didn-t-finish american 21st-century never-finished couldn-t-finish 2000s gave-up-on bookclub usa literary books-about-books war general-fiction award-winners historical-fiction pulitzer pulitzer-prize pulitzer-prize-winners literary-fiction pulitzer-winners pulitzers pulitzer-fiction book-group pulitzer-prize-fiction pulitzer-prize-winner american-lit pulitzer-winner american-literature modern-fiction wwii contemporary-lit lit new-york nyc new-york-city jewish rory-gilmore-challenge rory-gilmore comics rory-gilmore-reading-list gilmore-girls world-war-ii holocaust comic lgbt lgbtq queer superheroes michael-chabon,Michael Chabon to-read fantasy favorites currently-reading fiction books-i-own owned favourites owned-books adventure all-time-favorites default my-books classics audiobook favorite-books novels favorite audiobooks my-library books own-it library audio novel faves shelfari-favorites kindle to-buy ebook contemporary coming-of-age rory-gilmore-reading-challenge contemporary-fiction wish-list recommended adult 1001-books book-club adult-fiction 1001 literature abandoned 1001-books-to-read-before-you-die audible unfinished did-not-finish to-read-fiction on-hold history historical didn-t-finish american 21st-century never-finished couldn-t-finish 2000s gave-up-on bookclub usa literary books-about-books war general-fiction award-winners historical-fiction pulitzer pulitzer-prize pulitzer-prize-winners literary-fiction pulitzer-winners pulitzers pulitzer-fiction book-group pulitzer-prize-fiction pulitzer-prize-winner american-lit pulitzer-winner american-literature modern-fiction wwii contemporary-lit lit new-york nyc new-york-city jewish rory-gilmore-challenge rory-gilmore comics rory-gilmore-reading-list gilmore-girls world-war-ii holocaust comic lgbt lgbtq queer superheroes michael-chabon
